980.625 1194.375 881.7777690421544,849.375 931.875 544.1304802108584,849.375 669.375 118.57936694712835,793.125 678.75 0,736.875 688.125 -118.57936694712835,661.875 931.875 -548.6502186680978,624.375 1175.625 -921.9037406275356
961.875 1175.625 887.5550252491421,811.875 931.875 543.7172122396876,830.625 669.375 118.57936694712835,774.375 678.75 0,718.125 688.125 -118.57936694712835,643.125 931.875 -548.6502186680978,624.375 1194.375 -910.4245843369835
943.125 1156.875 894.3874475663856,774.375 931.875 546.4838091043474,811.875 669.375 122.58818515901814,765.0 678.75 0,718.125 688.125 -122.58818515901814,643.125 950.625 -541.4780871619191,643.125 1194.375 -916.6106526039567
924.375 1138.125 904.719068751004,736.875 950.625 544.405310818942,793.125 688.125 122.58818515901814,746.25 697.5 0,699.375 706.875 -122.58818515901814,624.375 950.625 -552.6590368799875,643.125 1213.125 -914.4334025488732
886.875 1119.375 900.7256409588774,699.375 950.625 531.2588743138588,774.375 669.375 124.72051511512336,736.875 688.125 0,699.375 706.875 -124.72051511512336,605.625 950.625 -551.0969626353868,661.875 1213.125 -908.9631270811536
849.375 1119.375 928.4111703408469,680.625 950.625 550.0127306570598,736.875 688.125 128.19560499713597,708.75 697.5 0,680.625 706.875 -128.19560499713597,586.875 969.375 -543.2916029301442,661.875 1213.125 -910.8503623892607
811.875 1119.375 921.6900426139313,643.125 950.625 543.2916029301442,736.875 688.125 128.19560499713597,708.75 697.5 0,680.625 706.875 -128.19560499713597,586.875 969.375 -543.2916029301442,680.625 1213.125 -906.5207030241821
755.625 1119.375 933.7429556103308,605.625 931.875 556.2747395243607,699.375 688.125 129.89829200409724,680.625 697.5 0,661.875 706.875 -129.89829200409724,586.875 969.375 -548.7881940069983,680.625 1213.125 -912.0172941010362
718.125 1156.875 921.3337041388332,586.875 931.875 557.620985561211,680.625 688.125 131.2445380409475,680.625 697.5 0,680.625 706.875 -131.2445380409475,605.625 969.375 -550.1344400438485,680.625 1213.125 -917.693199502965
661.875 1194.375 904.3178102755916,549.375 931.875 559.9691437250666,624.375 688.125 129.89829200409724,643.125 697.5 0,661.875 706.875 -129.89829200409724,624.375 969.375 -553.7939159494265,699.375 1213.125 -921.352675408543
605.625 1175.625 927.5279031841831,530.625 931.875 559.9691437250666,605.625 688.125 129.89829200409724,624.375 697.5 0,643.125 706.875 -129.89829200409724,624.375 969.375 -555.0361372966564,699.375 1231.875 -909.4472744736992
549.375 1175.625 946.158672842681,530.625 931.875 571.4949847768041,586.875 706.875 128.5379467923061,615.0 706.875 0,643.125 706.875 -128.5379467923061,624.375 969.375 -553.6757920848653,718.125 1231.875 -903.5946278955781
511.875 1194.375 933.399022160143,511.875 950.625 558.2664567181054,586.875 706.875 128.19560499713597,615.0 716.25 0,643.125 725.625 -128.19560499713597,643.125 988.125 -553.746718260866,736.875 1231.875 -916.9758183549039
474.375 1194.375 945.1540628125417,511.875 969.375 560.3070098744627,586.875 725.625 130.23615815349328,605.625 725.625 0,624.375 725.625 -130.23615815349328,643.125 1006.875 -543.209371570538,736.875 1231.875 -918.3419370125756
455.625 1194.375 953.2896801731981,511.875 988.125 560.3070098744627,586.875 744.375 130.23615815349328,605.625 744.375 0,624.375 744.375 -130.23615815349328,643.125 1006.875 -555.3740034460525,755.625 1250.625 -913.2401678918193
436.875 1194.375 950.9570810395294,511.875 988.125 561.1180865108591,568.125 744.375 128.19560499713597,596.25 753.75 0,624.375 763.125 -128.19560499713597,643.125 1006.875 -564.3542630563335,755.625 1250.625 -922.2204275021003
436.875 1213.125 942.5255992386608,493.125 988.125 559.9691437250666,568.125 744.375 129.89829200409724,586.875 753.75 0,605.625 763.125 -129.89829200409724,624.375 1006.875 -566.0569500632948,774.375 1250.625 -909.8947630727494
436.875 1213.125 956.0311955698426,493.125 988.125 573.4747400562483,530.625 763.125 128.5379467923061,558.75 763.125 0,586.875 763.125 -128.5379467923061,624.375 1006.875 -563.4858603405837,774.375 1231.875 -919.8754002475857
436.875 1231.875 948.3329132786628,474.375 1006.875 563.4858603405837,511.875 763.125 128.5379467923061,540.0 763.125 0,568.125 763.125 -128.5379467923061,605.625 1025.625 -552.4335707376354,793.125 1231.875 -902.3524065483482
455.625 1231.875 948.1301894137795,455.625 1006.875 561.4604283060293,511.875 763.125 128.5379467923061,540.0 763.125 0,568.125 763.125 -128.5379467923061,605.625 1025.625 -552.4335707376354,793.125 1213.125 -912.7473286696975
455.625 1231.875 946.1840342395633,436.875 1006.875 559.9691437250666,511.875 763.125 129.89829200409724,530.625 772.5 0,549.375 781.875 -129.89829200409724,549.375 1025.625 -566.4597853816053,774.375 1213.125 -904.6272796135681
474.375 1231.875 943.6745420244533,418.125 1006.875 561.1180865108591,474.375 763.125 128.19560499713597,502.5 772.5 0,530.625 781.875 -128.19560499713597,530.625 1025.625 -564.757098374644,774.375 1175.625 -908.5949113840985
